Acherontia atropos
Aglais io
Anthocharis cardamines
Astraptes fulgerator
Attacus atlas
Autochton cellus
Battus philenor
Carterocephalus palaemon
Chlosyne janais
Chrysiridia rhipheus
Cithaerias pireta
Colias philodice
Danaus gilippus
Danaus plexippus
Diaethria anna
Dryas iulia
Epargyreus clarus
Euchloe ausonides
Gonepteryx rhamni
Heliconius charithonia
Hypolimnas bolina
Idea leuconoe
Iphiclides podalirius
Kallima inachus
Libytheana carinenta
Limenitis archippus
Limenitis arthemis
Lycaena arota
Lysandra bellargus
Megisto cymela
Neophasia menapia
Neozephyrus quercus
Nymphalis antiopa
Papilio aegeus
Papilio crino
Papilio glaucus
Papilio indra
Papilio ulysses
Parantica sita
Parnassius clodius
Phocides pigmalion
Pholisora catullus
Phyciodes tharos
Pieris rapae
Polygonia comma
Polygonia interrogationis
Pontia beckerii
Riodinidae
Satyrium pruni
Siproeta stelenes
Strymon melinus
Vanessa atalanta
Vanessa cardui
Zerene cesonia
Zygaena filipendulae
